Nombre,ID,Categoria,Prioridad
Alex,12345678,comun,0
Jamie,23456789,comun,0
Casey,34567890,comun,0
Drew,45678901,comun,0
Jordan,56789012,honor,1
Taylor,67890123,comun,0
Morgan,78901234,comun,0
Reese,89012345,honor,1
Skyler,90123456,comun,0
Quinn,10234567,comun,0
Avery,11234568,comun,0
Riley,12234569,ecologico,1
Harper,13234560,comun,0
Devon,14234561,comun,0
Leslie,15234562,ecologico,1
Kendall,16234563,comun,0
Peyton,17234564,comun,0
Rowan,18234565,ecologico,1
Charlie,19234566,comun,0
Francis,20234567,comun,0
Blair,21234568,ecologico,1
Dakota,22234569,comun,0
Emerson,23234560,comun,0
Finley,24234561,ecologico,1
Marley,25234562,comun,0
Robin,26234563,honor,1
Skye,27234564,comun,0
Sloane,28234565,comun,0
Spencer,29234566,honor,1
Tatum,30234567,comun,0
Bailey,31234568,comun,0
Cameron,32234569,honor,1
Dylan,33234560,comun,0
Elliott,34234561,comun,0
Frankie,35234562,honor,1
Hayden,36234563,comun,0
Jamie,37234564,comun,0
Jessie,38234565,honor,1
Jordan,39234566,ecologico,1
Kai,40234567,comun,0
Keegan,41234568,honor,1
Kelly,42234569,ecologico,1
Kennedy,43234560,comun,0
Lane,44234561,honor,1
Logan,45234562,ecologico,1
London,46234563,comun,0
Micah,47234564,honor,1
Jiafei,48234565,ecologico,1
Noel,49234566,comun,0
Oakley,50234567,honor,1
Parker,51234568,ecologico,1
Quincy,52234569,comun,0
Reagan,53234560,honor,1
Reed,54234561,ecologico,1
Rory,55234562,comun,0
Ryan,56234563,honor,1
Sage,57234564,ecologico,1
Sam,58234565,comun,0
Shawn,59234566,honor,1
Sidney,60234567,ecologico,1
Stevie,61234568,comun,0
Terry,62234569,honor,1
Tristan,63234560,ecologico,1
Val,64234561,comun,0
Wesley,65234562,honor,1
Zion,66234563,ecologico,1
Adrian,67234564,comun,0
Alexis,68234565,honor,1
Angel,69234566,ecologico,1
Ariel,70234567,comun,0
Ashton,71234568,honor,1
Blake,72234569,ecologico,1
Brett,73234560,comun,0
Brook,74234561,honor,1
Casey,75234562,ecologico,1
Chris,76234563,comun,0
Corey,77234564,honor,1
Dana,78234565,ecologico,1
Darcy,79234566,comun,0
Eden,80234567,honor,1
Ellis,81234568,ecologico,1
Emery,82234569,comun,0
Erin,83234560,comun,0
Evan,84234561,ecologico,1
Gale,85234562,comun,0
